,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,118927.0,2367364549487,1,2367368356568,39443484104.0,119754.0,118094.0,833.29,0.70562,19201479639.0,0.81772,19898618.0,19898650.0,21000000.0,122838.0,-3.17335,2025-07-14T07:56:01.937Z,67.81,175304.30848,2013-07-06T00:00:00.000Z,,2025-07-28T12:55:57.106Z
1,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3881.57,468965866791,2,468965866791,33736361521.0,3936.94,3802.27,54.4,1.4213,8365024702.0,1.81611,120710895.7118681,120710895.7118681,,4878.26,-20.33848,2021-11-10T14:24:19.604Z,0.432979,897425.68312,2015-10-20T00:00:00.000Z,"{'times': 42.64814635330088, 'currency': 'btc', 'percentage': 4264.814635330088}",2025-07-28T12:55:58.341Z
2,ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,3.23,191772250679,3,323677173527,6062305441.0,3.32,3.17,0.050131,1.57447,3294022003.0,1.74769,59239646627.0,99985901574.0,100000000000.0,3.65,-11.17151,2025-07-18T03:40:53.808Z,0.00268621,120479.79302,2014-05-22T00:00:00.000Z,,2025-07-28T12:55:54.510Z
3,tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999974,163591092303,4,163591092303,96942524660.0,1.0,0.999952,-0.000300547923803185,-0.03005,-26990735.436645508,-0.0165,163595317967.1743,163595317967.1743,,1.32,-24.42201,2018-07-24T00:00:00.000Z,0.572521,74.66065,2015-03-02T00:00:00.000Z,,2025-07-28T12:55:55.304Z
4,binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,855.4,119126629330,5,119126629330,3494751186.0,858.34,794.35,59.83,7.52045,8313438319.0,7.50221,139288559.42,139288559.42,200000000.0,858.34,-0.46304,2025-07-28T09:36:43.658Z,0.0398177,2145587.43636,2017-10-19T00:00:00.000Z,,2025-07-28T12:55:57.179Z
5,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,192.96,103718734617,6,116880390056,9889152527.0,194.21,185.39,6.69,3.59332,3373900138.0,3.36231,537922279.9189745,606183310.3605288,,293.31,-34.27863,2025-01-19T11:15:27.957Z,0.500801,38392.0487,2020-05-11T19:35:23.449Z,,2025-07-28T12:55:55.219Z
6,usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999811,64207168281,7,64207365775,12367783409.0,0.999907,0.999705,-4.9013189681202e-05,-0.0049,-75099604.81113434,-0.11683,64221144651.67708,64221342189.6356,,1.17,-14.74689,2019-05-08T00:40:28.300Z,0.877647,13.91469,2023-03-11T08:02:13.981Z,,2025-07-28T12:55:57.460Z
7,dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.242174,36388150809,8,36397603643,2940417844.0,0.247676,0.235198,0.00504905,2.12928,864921586.0,2.43481,150243776383.7052,150282806383.7051,,0.731578,-66.85632,2021-05-08T05:08:23.458Z,8.69e-05,278911.99103,2015-05-06T00:00:00.000Z,,2025-07-28T12:55:58.066Z
8,staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3873.49,34781855044,9,34777367730,72463686.0,3932.99,3802.76,51.37,1.34404,336847417.0,0.97793,8979460.828982772,8978302.361149522,,4829.57,-19.63191,2021-11-10T14:40:47.256Z,482.9,703.78212,2020-12-22T04:08:21.854Z,,2025-07-28T12:55:54.037Z
9,tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.326063,30862009481,10,30862004825,1529174891.0,0.326059,0.319361,0.00410066,1.27364,363719596.0,1.19259,94727216750.43513,94727202461.32867,,0.431288,-24.52426,2024-12-04T00:10:40.323Z,0.00180434,17940.82324,2017-11-12T00:00:00.000Z,"{'times': 170.61233685220154, 'currency': 'usd', 'percentage': 17061.23368522015}",2025-07-28T12:55:54.966Z
10,cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.831707,30084310137,11,37426363107,1415195029.0,0.853571,0.816087,0.01045638,1.27323,405672270.0,1.36688,36172201725.55295,45000000000.0,45000000000.0,3.09,-73.03703,2021-09-02T06:00:10.474Z,0.01925275,4223.13859,2020-03-13T02:22:55.044Z,,2025-07-28T12:55:57.543Z
11,wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4686.25,15319624162,12,15320125344,81330284.0,4759.39,4590.38,64.89,1.40417,293448363.0,1.95291,3264223.500540886,3264330.289816006,,7256.02,-35.35,2022-05-13T15:09:54.509Z,558.54,739.87118,2022-05-13T01:36:45.053Z,,2025-07-28T12:55:55.450Z
